text_a	label
-DOCSTART-	O
Aamir Sohail 6-1-17-0	B-PER I-PER O
We want to talk to him , " Andrews said of the man .	O O O O O O O O B-PER O O O O O
Berwick 0 Stenhousemuir 6	B-ORG O B-ORG O
6. Mathias Ntawulikura ( Rwanda ) 27:25.48	O B-PER I-PER O B-LOC O O
-DOCSTART-	O
Queen of the South 2 Dumbarton 1	B-ORG I-ORG I-ORG I-ORG O B-ORG O
He did not elaborate .	O O O O O
3/4 - Marlene Thomsen / Lisbet Stuer-Lauridsen ( Denmark ) beat	O O B-PER I-PER O B-PER I-PER O B-LOC O O
Our not signing a new treaty does not mean we are going in for any new kind of weapons , particularly nuclear . "	O O O O O O O O O O O O O O O O O O O O O O O O
The Australian government 's plans to slash its budget deficit should make a useful contribution to national savings , the Reserve Bank of Australia ( RBA ) said in its annual report .	O B-MISC O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O
Net profit 28.9 vs 24.5	O O O O O
I think it would be very difficult to sell to the European Commission a programme which would involve the elimination of fewer BSE cases , " Kiely said .	O O O O O O O O O O O B-ORG I-ORG O O O O O O O O O B-MISC O O O B-PER O O
JOHANNESBURG 1996-08-28	B-LOC O
It also would cut its three-month-to-three-year time deposit rates by between 0.05 and 0.10 percentage points .	O O O O O O O O O O O O O O O O O
International reserves and	O O O
For three hours on Tuesday , around 100 members of the Maoist rebel group Shining Path took control of Alomella Robles , a small village about 345 miles ( 550 km ) northeast of Lima , the sources said .	O O O O O O O O O O O B-MISC O O B-ORG I-ORG O O O B-LOC I-LOC O O O O O O O O O O O O O B-LOC O O O O O
Scott Draper ( Australia ) beat Galo Blanco ( Spain ) 6-3 7-5 6-3	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O
6,000 .	O O
Haitai 5 Hanwha 4	B-ORG O B-ORG O
Some trains were delayed as fallen trees blocked lines .	O O O O O O O O O O
45. Malta 7.40	O B-LOC O
Carlton 13.18 ( 96 ) Footscray 9.12 ( 66 )	B-ORG O O O O B-ORG O O O O
SEATTLE 66 61 .520 7	B-ORG O O O O
His 170 against the MCC was an innings of supreme class against the best bowling attack we faced all tour , " Woolmer told a news conference .	O O O O B-ORG O O O O O O O O O O O O O O O O O B-PER O O O O O
Hijacked Sudanese plane leaves Cyprus for Britain .	O B-MISC O O B-LOC O B-LOC O
The 30-year U.S. Treasury bond was off 2/32 to yield 6.96 percent .	O O B-ORG I-ORG O O O O O O O O O
Overall on day :	O O O O
BARRY , Wales 1996-08-30	B-LOC O B-LOC O
Penrith 21 6 1 14 339 448 13	B-ORG O O O O O O O
He left the game with a knot in his right shoulder .	O O O O O O O O O O O O
Milwaukee 3 CHICAGO 2	B-ORG O B-ORG O
- output expectations * +22 +22 +12 +16	O O O O O O O O
-DOCSTART-	O
69 76 73 , Mark Roe 69 71 78	O O O O B-PER I-PER O O O
Angel Miranda retired one batter and Bob Wickman retired the next four but loaded the bases in the eighth .	B-PER I-PER O O O O B-PER I-PER O O O O O O O O O O O O
-DOCSTART-	O
An Indian Fisheries Department official said the government planned to urge fishermen not to cross the international boundary between India and Sri Lanka , but admitted this would be hard to enforce because of Sri Lanka 's pomfret-rich waters .	O B-ORG I-ORG I-ORG O O O O O O O O O O O O O O O B-LOC O B-LOC I-LOC O O O O O O O O O O O B-LOC I-LOC O O O O
Shares in Repsol shot up 100 pesetas to 4,175 shortly after the figures , having traded down 10 pesetas before the figures were released .	O O B-ORG O O O O O O O O O O O O O O O O O O O O O O
5. Aloys Nizigama ( Burundi ) 27:25.13	O B-PER I-PER O B-LOC O O
" They ( government officials ) want to present us before public opinion as a local problem , as just being from Guerrero and as irrational radicals , " Commander Oscar told La Jornada .	O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O B-PER O B-ORG I-ORG O
-DOCSTART-	O
ATLANTA 1996-08-25	B-LOC O
Arafat called for a general strike " for Jerusalem " on Thursday in all of the West Bank and Gaza Strip .	B-PER O O O O O O O B-LOC O O O O O O O B-LOC I-LOC O B-LOC I-LOC O
Sri Lanka and Australia agreed on Friday that relations between the two teams had healed since the Sri Lankans ' acrimonious tour last year .	B-LOC I-LOC O B-LOC O O O O O O O O O O O O O B-MISC I-MISC O O O O O O
Buenos Aires fraud cops held in extortion racket .	B-LOC I-LOC O O O O O O O
4. Erik Zabel ( Germany ) Telekom	O B-PER I-PER O B-LOC O B-ORG
Softbank Corp said on Friday that it would procure $ 900 million through the foreign exchange market by September 5 as part of its acquisition of U.S. firm , Kingston Technology Co .	B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O B-ORG I-ORG I-ORG O
Marriner said NATO forces confiscated 25 long-barreled AK-47 automatic assault rifles from the detained Serbs before setting them free .	B-PER O B-ORG O O O O B-MISC O O O O O O B-MISC O O O O O
Iliescu has invited political leaders to a meeting on Thursday to discuss the final form of the pact which both Romanian and Hungarian nationalists oppose for different reasons .	B-PER O O O O O O O O O O O O O O O O O O O B-MISC O B-MISC O O O O O O
2004 655M 90M 965M	O O O O
56rd ) .	O O O
6-2 6-2	O O
Davies said he knew of no plans to return the man to Cuba .	B-PER O O O O O O O O O O O B-LOC O
Some 27 people were rescued from the private jail set up by the police .	O O O O O O O O O O O O O O O
INTERVIEW-T&N untroubled by margin pressure .	B-MISC O O O O O
-DOCSTART-	O
One feature of the Java language is that small software programmes , known as " applets " because they are small applications , can be downloaded from the server computers at the centre of networks onto individual computers for use .	O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-- Doreen Siow 65-8703092	O B-PER I-PER O
She said her divine call to work among the poor came in September , 1946 . "	O O O O O O O O O O O O O O O O O
The three Islamic Taleban guards were overpowered by seven Russian aircrew who escaped to UAE state Sharjah last Friday on board their own aircraft after a year in the captivity of Taleban militia in Kandahar in southern Afghanistan .	O O B-MISC I-MISC O O O O O B-MISC O O O O B-LOC O B-LOC O O O O O O O O O O O O O O B-MISC O O B-LOC O O B-LOC O
Nice 1 Guingamp 2	B-ORG O B-ORG O
It has sales in 38 foreign countries .	O O O O O O O O
Japan declares food poisoning threat receding .	B-LOC O O O O O O
-DOCSTART-	O
No going back on democracy ; attempts to tamper with security and stability will not be tolerated .	O O O O O O O O O O O O O O O O O O
LEAD MGR - Nomura Securities Co Ltd	O O O B-ORG I-ORG I-ORG I-ORG
Scores from the $ 2.1	O O O O O
But to say that they definitely will would be premature until we determine what the exact basis for the court 's ruling is . "	O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-	O
CENTRAL DIVISION	B-MISC I-MISC
4. Heiko Szonn ( Germany ) 4:21.009	O B-PER I-PER O B-LOC O O
2. Noriyuki Haga ( Japan ) Yamaha 38:30.140	O B-PER I-PER O B-LOC O B-ORG O
SOCCER - BELGIAN FIRST DIVISION RESULTS .	O O B-MISC O O O O
GERMAN GOVT BOND ( SEP ) 97.42 97.38 97.34	B-MISC O O O O O O O O
He offered no details about the cause of Smith 's death or the location .	O O O O O O O O B-PER O O O O O O
Sunday .	O O
Montana weekly muni bond indices - Piper Jaffray .	B-LOC O O O O O B-ORG I-ORG O
" I think that it would be very difficult to select which municipal elections would have to be cancelled .	O O O O O O O O O O O O O O O O O O O O
Of the 750 mid-to-large size corporations surveyed , 81 percent had undergone a major restructuring in the last three years , and more than two-thirds reported that productivity and profits were up as result .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The ECOMOG force , currently 10,000 strong , was sent to Liberia by the Economic Community of West African States in 1990 at the height of the fighting .	O B-ORG O O O O O O O O O B-LOC O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O
" I feared he would flee from work or steal my belongings , " the Kathmandu Post newspaper quoted Munakarmi as saying after his arrest .	O O O O O O O O O O O O O O O B-ORG I-ORG O O B-PER O O O O O O
Jane Chi ( U.S. ) beat Maria Antonio Sanchez Lorenzo ( Spain ) 6-4 1-6 6-3	B-PER I-PER O B-LOC O O B-PER I-PER I-PER I-PER O B-LOC O O O O
It will improve a company 's bottom line . "	O O O O O O O O O O
Huge swings in the price of pulp over the past few years have made pulp producers ' profitability unpredictable , and made investing in new production capacity a risky business .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Women 's pole vault :	O O O O O
January-June revenues went up to 8.26 trillion lei from 6.96 trillion lei in the first five months this year .	O O O O O O O O O O O O O O O O O O O O
Boston has won 15 of its last 19 games .	B-ORG O O O O O O O O O
-DOCSTART-	O
Doug Flach ( U.S. ) beat Gianluca Pozzi ( Italy ) 7-5 7-6 ( 7-5 ) 2-6 7-6 ( 8-6 )	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O O O O O O O O O
6. Belometti 19	O B-PER O
Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .	B-MISC I-MISC O O B-LOC O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O
PRESS DIGEST - Lebanon - Aug 22 .	O O O B-LOC O O O O
It may be a little more problematic because of cold , wet conditions but we 're on top of it , " the secretary said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
-DOCSTART-	O
Montpellier 0 Cannes 1 ( Charvet 8th ) .	B-ORG O B-ORG O O B-PER O O O
-DOCSTART-	O
Tsang , who made the remarks during a visit to New Zealand , also spoke strongly in favour of keeping the Hong Kong dollar pegged to its U.S. counterpart , and said negotiations with China on next year 's budget were going smoothly .	B-PER O O O O O O O O O B-LOC I-LOC O O O O O O O O O B-LOC I-LOC O O O O B-LOC O O O O O O B-LOC O O O O O O O O O
It affects the gastro-intestinal tract , causing high fever , headache and vomiting .	O O O O O O O O O O O O O O
The limits , effective from January 1 , 1997 , are reduced as much as possible while still complying with international obligations , a spokesman for the Department of Transport said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O
The decree plugs a legal void in which magistrates could have forced the former prime minister to take one of the three stations he controls off the air because of a court ruling that no single proprietor should be allowed to keep three channels .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Jet fuel stocks lowered as the aviation sector bought .	O O O O O O O O O O
" The government is ready to guarantee security of the Maoist representatives who want to take part in peaceful dialogue , " Khadga said .	O O O O O O O O O O B-MISC O O O O O O O O O O O B-PER O O
Advanced Medical Inc. said Monday it will buy IVAC Medical Systems Inc. , a former Eli Lilly & Co .	B-ORG I-ORG I-ORG O O O O O B-ORG I-ORG I-ORG I-ORG O O O B-ORG I-ORG I-ORG I-ORG O
TEXAS 74 54 .578 -	B-ORG O O O O
Reuters has not verified this story and does not vouch for its accuracy .	B-ORG O O O O O O O O O O O O O
The minimum price setting expired last September when three publishers pulled out .	O O O O O O O O O O O O O
The 36-year-old Aston Villa player won the last of his Irish record of 82 international caps against the Czech Republic in Prague in April .	O O B-ORG I-ORG O O O O O O B-MISC O O O O O O O B-LOC I-LOC O B-LOC O O O
Aircraft noise and emissions Gaseous emissions from aircraft in the atmosphere Consultancy services Call for tender ( 96 / C 251/06 )	O O O O O O O O O O O O O O O O O O O O O O
CSKA Moscow 25 13 6 6 40 27 45	B-ORG I-ORG O O O O O O O
3. Rodica Matescu ( Romania ) 14.18	O B-PER I-PER O B-LOC O O
-- Amsterdam newsroom +31 20 504 5000 , Fax +31 20 504 5040	O B-LOC O O O O O O O O O O O
In Detroit , Jim Thome 's solo homer in the ninth inning snapped a tie and Charles Nagy pitched a three-hitter for his first win in over a month , leading the Cleveland Indians to their 11th straight victory over the Detroit Tigers , 2-1 .	O B-LOC O B-PER I-PER O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O B-ORG I-ORG O O O O O O O B-ORG I-ORG O O O
Women 's 400 metres	O O O O
Bangladesh 's Criminal Investigation Department has charged two immigration officials in connection with Mia 's killing .	B-LOC O B-ORG I-ORG I-ORG O O O O O O O O B-PER O O O
SOCCER - RESULTS OF SOUTH KOREAN PRO-SOCCER GAMES .	O O O O B-MISC I-MISC O O O
Oxford 2 1 0 1 6 2 3	B-ORG O O O O O O O
But commitee member Montgomerie said it could set an unhelpful precedent . "	O O O B-PER O O O O O O O O O
KATHMANDU 1996-08-27	B-LOC O
White added a solo homer , his 11th , off reliever Mark Petkovsek with one out in the fifth , giving the Marlins a 6-0 lead .	B-PER O O O O O O O O O O B-PER I-PER O O O O O O O O O B-ORG O O O O
They said dozens of trucks began moving through the tunnel from both directions after the road reopened .	O O O O O O O O O O O O O O O O O O
Surprise second seed Michael Chang , ranked third in the world , opens against Czech Daniel Vacek , while women 's second seed Monica Seles drew American Anne Miller as her first victim .	O O O B-PER I-PER O O O O O O O O O B-MISC B-PER I-PER O O O O O O B-PER I-PER O B-MISC B-PER I-PER O O O O O
Millns , who toured Australia with England A in 1992/93 , replaces former England all-rounder Phillip DeFreitas as Boland 's overseas professional .	B-MISC O O O B-LOC O B-LOC O O O O O O B-LOC O B-PER I-PER O B-ORG O O O O
Bayern Munich 4 Bayer Leverkusen 2	B-ORG I-ORG O B-ORG I-ORG O
Attendance : 15,062	O O O
The election will now go before an electoral college involving MPs and local government representatives that will be convened by the parliamentary Speaker in the next day or so .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
CARLSBAD , California 1996-08-22	B-LOC O B-LOC O
Wijaya Indra ( Indonesia ) beat 5/8 - Pang Chen ( Malaysia ) 15-6	B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O
Struggling French first division side Nice on Thursday announced they were parting with coach Albert Emon after a string of poor results .	O B-MISC O O O B-ORG O O O O O O O O B-PER I-PER O O O O O O O
It said moderating paper prices and solid orders for advertising at its Fox Broadcasting television network in the United States would also help boost profits in the 1996/97 year . "	O O O O O O O O O O O O B-ORG I-ORG O O O O B-LOC I-LOC O O O O O O O O O O O
WEDNESDAY , AUGUST 28TH SCHEDULE	O O O O O
" On gas oil , in the near term demand and supply are balanced to a bit short , there are some enquiries into east Africa and short covering in India , " said one trader .	O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O B-LOC O O O O O O
Yr / yr Inflation ( % ) +3.7 +3.6 +4.7 119.3 -	O O O O O O O O O O O O
RESEARCH ALERT - Career Horizons said cut .	O O O B-ORG I-ORG O O O
Saskatchewan Pork International Marketing Group has an export monopoly but some Saskatchewan farmers earlier this month called for an open market in hogs .	B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O B-LOC O O O O O O O O O O O O
Tunbridge Wells : Nottinghamshire 40-3 v Kent	B-LOC I-LOC O B-ORG O O B-ORG
VIENNA 1996-08-24	B-LOC O
Soccer - Burundi disqualification from African Cup confirmed .	O O B-LOC O O B-MISC I-MISC O O
Outright gas oil prices were notionally softer as the NYMEX heating oil contract headed lower , and following news that the Indian Oil Corp ( IOC ) had issued a tender to buy only 120,000 tonnes of high speed diesel for October .	O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O
NEW YORK AT SEATTLE	B-ORG I-ORG O B-LOC
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
Jiul Petrosani , promoted to the first division this year , won the league game 1-0 .	B-ORG I-ORG O O O O O O O O O O O O O O O
" I won the second set , which I did n't think I would do , being down 5-2 and the chances she had at 6-5 , " Graf recalled .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O
( Note - contents are displayed in reverse order to that in the printed Journal )	O O O O O O O O O O O O O O B-ORG O
AL-MUNTAR , West Bank 1996-08-26	B-LOC O B-LOC I-LOC O
It currently operates 169 stores in 23 states .	O O O O O O O O O
-DOCSTART-	O
-- Sydney Newsroom 61-2 9373-1800	O B-ORG I-ORG O O
behind	O
C. Evans c Healy b S. Waugh 15	B-PER I-PER O B-PER O B-PER I-PER O
Presidential , parliamentary and municipal elections are planned for May .	O O O O O O O O O O O
*	O
PITTSBURGH 54 73 .425 13 1/2	B-ORG O O O O O
Thursday :	O O
43. Croatia 7.75	O B-LOC O
NEW YORK 1996-08-26	B-LOC I-LOC O
But Christie did not announce his decision to run until the eve of the meeting when organisers also confirmed Johnson would take part .	O B-PER O O O O O O O O O O O O O O O O O B-PER O O O O
217 Antoine Lebouc ( France ) 74 73 70 , Ian Woosnam 70 76 71 ,	O B-PER I-PER O B-LOC O O O O O B-PER I-PER O O O O
KANSAS CITY , Mo .	B-LOC I-LOC O B-LOC O
Gluten feed pellets Spot - unq	O O O O O O
PSV Eindhoven 3 3 0 0 11 3 9	B-ORG I-ORG O O O O O O O
NEG PLG NO CRS DEFLT NO FORCE MAJ =	O O O O O O O O O
Russian police in the Urals city of Perm are on the trail of a serial killer who has claimed his seventh victim in just a few months , Itar-Tass news agency said on Tuesday .	B-MISC O O O B-MISC O O B-LOC O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O
Hong Kong nabs blind 10-year-old illegal immigrant .	B-LOC I-LOC O O O O O O
S. Jayasuriya not out 120	B-PER I-PER O O O
UNITED NATIONS 1996-08-28	B-ORG I-ORG O
Attendance 54,178 .	O O O
Pachuca 3 Toluca 0	B-ORG O B-ORG O
Police said the girl who died was identified as Michelle Harper .	O O O O O O O O O B-PER I-PER O
( A. Brown 56 not out ) .	O B-PER I-PER O O O O O
NEW YORK AT LOS ANGELES	B-ORG I-ORG O B-LOC I-LOC
At first it was street fighting outside the house and then we came under very heavy shelling and bombardment from conventional weapons like tanks , artillery and grenade launchers , " he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
But he added that new research into the dynamics of the bovine spongiform encephalopathy ( BSE ) , a fatal brain-wasting disease suffered by cattle , was unlikely to alter a slaughter plan agreed by Britain and its 14 EU partners .	O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O B-LOC O O O B-ORG O O
-DOCSTART-	O
rugby league matches on Saturday :	O O O O O O
Prayers continued in Calcutta , one of the world 's poorest cities , where Mother Teresa 's Missionaries of Charity runs several homes for the poor and destitute .	O O O B-LOC O O O O O O O O O O B-PER I-PER O B-ORG I-ORG I-ORG O O O O O O O O O
Specter met Crown Prince Abdullah and Minister of Defence and Aviation Prince Sultan in Jeddah , Saudi state television and the official Saudi Press Agency reported .	B-PER O O B-PER I-PER O O O B-ORG I-ORG I-ORG O B-PER O B-LOC O B-MISC O O O O O B-ORG I-ORG I-ORG O O
Derek Ryan ( Ireland ) beat 5 - Simon Parke ( England ) 15-11 15-11	B-PER I-PER O B-LOC O O O O B-PER I-PER O B-LOC O O O
-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4	O B-PER I-PER O B-ORG I-ORG O O
Montreal 3 SAN FRANCISCO 0	B-ORG O B-ORG I-ORG O
Today , and every day , the Brady Law is stopping an estimated 85 felons from buying a handgun , " Mrs. Brady said .	O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O B-PER O O
Scorers :	O O
" Topolcany and the area around this town were reported to have been the most visited places by Dutroux and his accomplices in Slovakia , " Gajdos said .	O B-LOC O O O O O O O O O O O O O O O O B-PER O O O O B-LOC O O B-PER O O
SOKOLOVSKA UHELNA 785.00 785.00 6000 4710.000	B-ORG I-ORG O O O O
Almost entirely paralyzed , Reeve underwent extensive surgery to fuse the vertebrae to the base of the skull and prevent any further damage to his spine .	O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O
" Sometimes you do n't have it in your head to play .	O O O O O O O O O O O O O
( C. White 181 , R. Blakey 109 not out , M. Moxon 66 , M. Vaughan 57 ) .	O B-PER I-PER O O B-PER I-PER O O O O B-PER I-PER O O B-PER I-PER O O O
1-0 .	O O
" Although the final draft of the treaty probably did n't totally satisfy any country , it was in general balanced , " the official People 's Daily newspaper said in a commentary .	O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O O O O O
Oval on Sunday :	B-LOC O O O
1906 - German-born U.S. biologist Max Delbruck born .	O O O B-LOC O B-PER I-PER O O
division soccer match on Saturday :	O O O O O O
Aamir Sohail c Cork b Croft 46	B-PER I-PER O B-PER O B-PER O
UNDERLYING GOVT BOND 7.0 PCT SEPT 2001	O O O O O O O
" Mr Shimon Peres , who is on a purely private and family visit to Morocco , was received on Thursday by his Majesty King Hassan at the royal palace of Skhirat , " the source said .	O O B-PER I-PER O O O O O O O O O O O B-LOC O O O O O O O O B-PER I-PER O O O O O B-LOC O O O O O O
Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .	O O O O O O O O O O O O O O O O B-ORG O O O B-PER I-PER O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O
He clutched a fly whisk which for a long time symbolised his obsession with power .	O O O O O O O O O O O O O O O O
-DOCSTART-	O
-DOCSTART-	O
A solitary raid allowed him to score his third in the 74th .	O O O O O O O O O O O O O
Just hours before Wednesday 's shooting , three hand grenades were thrown at a police station in Celopek .	O O O O O O O O O O O O O O O O O B-LOC O
The conflict , which killed more than 500 and caused thousands to flee to neighbouring French Guiana in the late 1980s , eventually paved the way to democratic elections in 1991 .	O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O O O O O
Many people began to believe that Windows 95 was being downplayed . "	O O O O O O B-MISC I-MISC O O O O O
Now she feels she is in the swing of things .	O O O O O O O O O O O
4. Marco Lietti ( Italy ) MG-Technogym 1 minute 14 seconds	O B-PER I-PER O B-LOC O B-ORG O O O O
tennis tournament on Sunday ( prefix number denotes seeding ) :	O O O O O O O O O O O
" The Iraqi regime has started threatening the Kurdish population by massing troops in preparation to attack Kurdish towns and population centres , " the Patriotic Union of Kurdistan ( PUK ) said in a statement .	O O B-MISC O O O O O B-MISC O O O O O O O O B-MISC O O O O O O O B-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O
HOUSTON 71 62 .534 -	B-ORG O O O O
Men 's singles	O O O
WESTERN DIVISION	B-MISC I-MISC
Portuguese champions Porto kicked off the season with a disappointing 2-2 home draw against Setubal and were lucky to squeeze in an equaliser in extra time .	B-MISC O B-ORG O O O O O O O O O O O B-ORG O O O O O O O O O O O O
BEIJING 1996-08-24	B-LOC O
And it went too fast .	O O O O O O
Guimaraes 4 Gil Vicente 2	B-ORG O B-ORG I-ORG O
Exports dipped 3.7 percent to 18,867 tonnes .	O O O O O O O O
Pakistan beat England by nine wickets on the fifth day of the third and final test at The Oval on Monday to win the series 2-0 .	B-LOC O B-LOC O O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O
I think it 's destined that it turned out for me . "	O O O O O O O O O O O O O
JOHANNESBURG 1996-08-24	B-LOC O
PHILADELPHIA AT SAN FRANCISCO	B-ORG O B-LOC I-LOC
But the day was not without its seeded casualties on the women 's side .	O O O O O O O O O O O O O O O
Lillestrom 19 9 5 5 38 29 32	B-ORG O O O O O O O
All figures in thousands of tonnes :	O O O O O O O
At Florida , Edgar Renteria 's two-out single in the bottom of the ninth inning scored Jesus Tavarez with the winning run as the Florida Marlins edged the Cincinnati Reds 6-5 .	O B-LOC O B-PER I-PER O O O O O O O O O O O B-PER I-PER O O O O O O B-ORG I-ORG O O B-ORG I-ORG O O
-DOCSTART-	O
-DOCSTART-	O
" The problem is they travel so much and are so busy that the ability to have any type of regimented routine workout does n't exist .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
In the past two months elephants have killed three people in remote areas of east and central Nepal .	O O O O O O O O O O O O O O O O O B-LOC O
ORVIETO , Italy 1996-08-24	B-LOC O B-LOC O
Government budget figures relate to central government finances only .	O O O O O O O O O O
" We 're used to hearing the taunts of " Death to the Arabs ' , " said Sameh Haj Yihye , a Taibe resident who studies at Jerusalem 's Hebrew University . "	O O O O O O O O O O O O O B-MISC O O O O B-PER I-PER I-PER O O B-LOC O O O O B-LOC O B-ORG I-ORG O O
The Interfax report could not be independently confirmed .	O B-ORG O O O O O O O
Peiris , 32 , of Perth , was sentenced in the Western Australian District Court to two years in jail for fraud after trading three pairs of impostor birds for 21 parrots worth a total of A$ 28,000 .	B-PER O O O O B-LOC O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O B-MISC O O
DHAKA 1996-08-25	B-LOC O
Chesterfield 1 Bury 2	B-ORG O B-ORG O
God help us if there is a breakdown , " he said of the machinery , loaned to the farm after the Ukrainian government bought it earlier this year .	B-PER O O O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O
BONN 1996-08-24	B-LOC O
-- Caracas newsroom , 582 834405	O B-LOC O O O O
Witnesses said protesters carrying colourful party flags walked for several miles , chanting anti-government slogans .	O O O O O O O O O O O O O O O O
The Catholic Information Office said the SPLA in the Kenyan capital had attributed the detentions of the six to a local commander and had promised they would be freed by August 23 .	O B-ORG I-ORG I-ORG O O B-ORG O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O
-- Sydney Newsroom 61-2 9373 1800	O B-ORG I-ORG O O O
Ten missing in north China ship collision .	O O O O B-LOC O O O
PITTSBURGH AT COLORADO	B-ORG O B-LOC
LATEST PREVIOUS ACTUAL	O O O
-DOCSTART-	O
Each day of the trip will have a late start , so that network television correspondents will be able to do live reports for morning programmes .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Porto , who are fighting to take their third consecutive title this season , were 2-0 down until the 86th minute when a header by Mario Jardel found the net after a string of missed opportunities , including a penalty taken by top league scorer Domingos Oliveira in the 60th minute .	B-ORG O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O
SEATTLE 10 New York 2	B-ORG O B-ORG I-ORG O
Alaniya Vladikavkaz 24 16 5 3 48 25 53	B-ORG I-ORG O O O O O O O
-- Chicago newsdesk , 312-408-8787	O B-LOC O O O
division soccer match on Sunday :	O O O O O O
standings after games played on Tuesday ( tabulate under won ,	O O O O O O O O O O O
In addition to social ostracism , the condition also carries a high risk of cancer .	O O O O O O O O O O O O O O O O
One soldier was discharged because of " mental incapacity and inebetude ( sic ) of the brain , alleged by the Patient to be connected with a fall on the head but believed to arise from long continued and excessive masturbation . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6. Claus Manne Nielsen ( Denmark ) KTM	O B-PER I-PER I-PER O B-LOC O B-ORG
Suwon 0 2 0 3 3 2	B-ORG O O O O O O
Amica Wronki 7 5 1 1 13 8 16	B-ORG I-ORG O O O O O O O
BOSTON 65 65 .500 10	B-ORG O O O O
COLOMBO 1996-08-28	B-LOC O
-DOCSTART-	O
Russia and Norway share the island 's resources under a treaty dating back to the 1920s .	B-LOC O B-LOC O O O O O O O O O O O O O O
-DOCSTART-	O
for , goals against , points ) :	O O O O O O O O
( 11.776 / 12.442 )	O O O O O
Jimmy Key ( 9-10 ) took the loss as the Yankees lost their ninth in 14 games .	B-PER I-PER O O O O O O O O B-ORG O O O O O O O
Second race	O O
Kimberly Po ( U.S. ) beat Kristina Brandi ( U.S. ) 6-1 6-4	B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O O
Peace talks between the two sides were last held in February .	O O O O O O O O O O O O
Scores : England 326 and 74-0 ; Pakistan 521-8 declared .	O O B-LOC O O O O B-LOC O O O
Attendance : 9,000	O O O
Conversion : Boeta Wessels .	O O B-PER I-PER O
10. Graham Sharman ( Australia ) 1:05.406	O B-PER I-PER O B-LOC O O
SOCCER - COCU DOUBLE EARNS PSV 4-1 WIN .	O O B-PER O O B-ORG O O O
Defiant U.S. neo-Nazi jailed by German court .	O B-LOC B-MISC O O B-MISC O O
NEW YORK 59 72 .450 23	B-ORG I-ORG O O O O
Results of European Super League	O O B-MISC I-MISC I-MISC
Moscow said the crew 's nationality was coincidental .	B-LOC O O O O O O O O
